,iter,norm
12,13,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
13,14,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 2, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 2}"
14,15,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
15,16,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 4, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 1}"
16,17,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 5, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 5, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 1}"
17,18,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 5, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 5, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 1}"
18,19,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 5, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 5, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
19,20,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 5, 'number_adjacent_block_facts': 2}"
20,21,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
21,22,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 5}"
22,23,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 4, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 4, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 3}"
23,24,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 5, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 5, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 1}"
24,25,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 4, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 4}"
25,26,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 7, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 3}"
26,27,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 5}"
27,28,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
28,29,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 5}"
29,30,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
30,31,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
31,32,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
32,33,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 2, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 3}"
33,34,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 5}"
34,35,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
35,36,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 6}"
36,37,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 3, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
37,38,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
38,39,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 3, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
39,40,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 8}"
40,41,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 3}"
41,42,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 4}"
42,43,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
43,44,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 2}"
44,45,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
45,46,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
46,47,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 8}"
47,48,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 4}"
48,49,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 3, 'number_adjacent_block_facts': 5}"
49,50,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 5}"
